startdat,enddate,aex1_1,aex1_2,aex1_3,aex1_4,aex1_5,aex1_6,aex1_7,aex1_8,aex1_9,aex1_9_t,aex1_10,aex1_11,aex2,aex3,complete,qflag,ppage,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppemploy,ppstaten,ppt18ov,ppkid017,ppreg9,sstno,partyid4,ind1,ppcm0006,pprent_n,ppcm0166,urb_sub_,msc,ppracem,core_par,weights
9/17/2021 20:43:48,9/17/2021 20:53:43,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (Please specify),"Whichever would most benefit humans for food, farming, etc",Not selected,Not selected,Somewhat concerned,I’m not sure,qualified,1,35,HS,High school graduate (high school diploma or the equivalent GED),Hispanic,Male,3,Building with 2 or more apartments,"$50,000 to $74,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,VA,3,0,South Atlantic,70,Something else,"Administrative and Support Services (such as Call Centers, Security, Landscaping, and Janitorial)",You do most of it,Owned by you or someone in your household with a mortgage or loan,2500-5000,Urban,In the center city of an MSA,White,No,1.2677644
9/17/2021 17:41:12,9/17/2021 18:00:58,Dinosaurs,Woolly Mammoths,Dodo birds,Mastodon,Saber-Toothed Tigers,Not selected,Northern White Rhinoceros,Giant Tortoise,Other (Please specify),"Whatever cool-ass monster champ is, champ rules",Not selected,Not selected,Very concerned,Yes,qualified,1,27,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,3,One-family condo or townhouse attached to other units,"$100,000 to $149,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,VT,3,0,New England,70,Independent,"Professional, Scientific, Technical, and Business Services",You do about half of it,Owned by you or someone in your household with a mortgage or loan,50-99,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,.9569559
9/19/2021 9:49:47,9/19/2021 10:01:07,Not selected,Woolly Mammoths,Not selected,Mastodon,Not selected,Not selected,Not selected,Giant Tortoise,Other (Please specify),Those little horses the size of duck!,Not selected,Not selected,Very concerned,Yes,qualified,1,29,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$50,000 to $74,999",Never married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,IN,2,0,East-North Central,70,Something else,"Administrative and Support Services (such as Call Centers, Security, Landscaping, and Janitorial)",You do about half of it,Owned by you or someone in your household with a mortgage or loan,1000-2499,Urban,In the center city of an MSA,White,No,.8886602
9/17/2021 17:34:05,9/17/2021 17:45:28,Not selected,Woolly Mammoths,Dodo birds,Mastodon,Not selected,Tasmanian Tigers,Northern White Rhinoceros,Giant Tortoise,Other (Please specify),The five extinct N American birds.,Not selected,Not selected,Very concerned,Yes,qualified,1,49,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,1,Building with 2 or more apartments,"Under $10,000",Never married,Metro area,West,Rented for cash,Not working,OR,1,0,Pacific,70,Something else,Not asked,You do all of it,Rented,Not asked,Urban,In the center city of an MSA,White,No,.8315488
9/18/2021 6:56:32,9/18/2021 7:07:29,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (Please specify),T rex,Not selected,Not selected,Not very concerned,Yes,qualified,1,61,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,MA,3,0,New England,70,Republican,Education and Tutoring,You do most of it,Owned by you or someone in your household with a mortgage or loan,5000+,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,.8245119
9/17/2021 17:18:58,9/17/2021 17:33:01,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (Please specify),Pliohippus,Not selected,Not selected,Somewhat concerned,I’m not sure,qualified,1,27,HS,High school graduate (high school diploma or the equivalent GED),"2+ races, Non-Hispanic",Female,2,One-family condo or townhouse attached to other units,"$25,000 to $49,999",Never married,Metro area,South,Owned or being bought by you or someone in,Not working,FL,2,0,South Atlantic,70,Something else,Not asked,Someone else does all of it,Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Suburban,Outside the center city of an MSA but inside the county containing the center city,2+ races,No,.7840769
9/17/2021 18:14:39,9/17/2021 18:32:14,Not selected,Not selected,Dodo birds,Not selected,Not selected,Not selected,Not selected,Not selected,Other (Please specify),Passenger pigeon,Not selected,Not selected,Somewhat concerned,I’m not sure,qualified,1,74,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,3,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,FL,3,0,South Atlantic,70,Republican,Not asked,You do about half of it,Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Urban,In the center city of an MSA,White,No,.6609728
9/18/2021 15:20:50,9/18/2021 15:37:08,Not selected,Woolly Mammoths,Dodo birds,Not selected,Not selected,Not selected,Northern White Rhinoceros,Giant Tortoise,Other (Please specify),Passenger pigeon,Not selected,Not selected,Somewhat concerned,I’m not sure,qualified,1,67,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,1,One-family house detached from any other house,"$50,000 to $74,999",Divorced,Metro area,Northeast,Owned or being bought by you or someone in,Not working,PA,1,0,Mid-Atlantic,70,Republican,Not asked,You do all of it,Owned by you or someone in your household with a mortgage or loan,Not asked,Suburban,Inside a suburban county of the MSA,White,No,.6269995
9/19/2021 10:58:40,9/19/2021 11:13:36,Not selected,Not selected,Not selected,Not selected,Saber-Toothed Tigers,Not selected,Not selected,Giant Tortoise,Other (Please specify),Passenger pigeon,Not selected,Not selected,Somewhat concerned,I’m not sure,qualified,1,29,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,NC,2,0,South Atlantic,70,Democrat,"Professional, Scientific, Technical, and Business Services",You do most of it,Owned by you or someone in your household with a mortgage or loan,1000-2499,Rural,Outside the center city of an MSA but inside the county containing the center city,White,No,.8207591
9/17/2021 17:48:05,9/17/2021 18:00:32,Not selected,Woolly Mammoths,Dodo birds,Mastodon,Not selected,Tasmanian Tigers,Northern White Rhinoceros,Giant Tortoise,Other (Please specify),Passenger pigeon,Not selected,Not selected,Very concerned,Yes,qualified,1,65,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,TX,2,0,West-South Central,70,Democrat,Not asked,You do about half of it,Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Urban,In the center city of an MSA,White,No,.614362
